chr,start,end,strand,symbol,length,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,RAS/CAS,PValueRAS/CAS,FDR,RAS/WT,PValueRAS/WT,FDR,P53KO/WT,PValueP53KO/WT,FDR,CAS/WT,PValueCAS/WT,FDR,Name
chr11,72861368,72897081,+,1200014J11Rik,6297,474,770,1480,1229,1202,801,612,781,-0.61,0.013259556,0.0331703,-0.36,0.026315926,0.125529991,-0.50947267,0.032925385,0.086716448,0.253123924,0.814687262,1,nuclear cap binding subunit 3
chr9,103152859,103190627,-,1300017J02Rik,2292,18940,18450,15032,14782,63156,48573,35072,33885,1.76,9.44E-18,1.64E-16,-0.49,0.145597188,0.435175572,-1.029820656,2.21E-08,2.20E-07,-2.243342262,4.43E-23,5.76E-22,RIKEN cDNA 1300017J02 gene
chr10,83185609,83225507,+,1500009L16Rik,1200,20,31,191,154,0,2,0,0,-6.42,5.69E-32,3.49E-30,0,0.506060673,0.943851927,4.095231761,1.18E-10,1.67E-09,6.416964367,3.43E-26,5.55E-25,RIKEN cDNA 1500009L16 gene
chr2,166888433,166891362,+,1500012F01Rik,743,3440,2274,6625,5928,2295,1663,406,417,-1.84,1.70E-08,1.09E-07,1.16,5.37E-05,0.000683607,2.9389363,3.51E-15,9.08E-14,3.003776689,3.96E-20,4.23E-19,"zinc finger, NFX1-type containing 1, antisense RNA 1"
chr1,43787446,43799409,+,1500015O10Rik,892,0,1,10,4,14,1,2,2,0.26,0.912040511,1,1.33,0.731077341,1,-1.476353306,0.456758958,0.76207358,1.069274767,0.622739959,0.870863534,RIKEN cDNA 1500015O10 gene
chr17,24352000,24357714,-,1600002H07Rik,2153,5004,5812,2481,1863,7487,4749,4281,3033,1.28,4.22E-11,3.60E-10,-0.53,0.165439223,0.471408477,0.084020176,0.184014711,0.367807851,-1.806621173,2.97E-15,2.27E-14,RIKEN cDNA 1600002H07 gene
chr10,79635688,79637864,+,1600002K03Rik,654,568,389,638,590,505,388,253,184,-0.65,0.073968863,0.151871754,-0.35,0.917320196,1,1.023553114,0.005398583,0.017856202,0.308851279,0.060914924,0.116123602,RIKEN cDNA 1600002K03 gene
chr17,15080188,15082944,+,1600012H06Rik,2757,1890,2089,3139,2443,3959,2569,1304,1309,0.02,0.534204176,0.79674657,0.27,0.107590072,0.353812549,0.394271198,0.084898656,0.193872926,0.246446246,0.322119615,0.505917405,RIKEN cDNA 1600012H06 gene
chr7,38968235,38982584,+,1600014C10Rik,3455,5588,7490,7309,6849,17344,12975,7388,7243,0.93,2.44E-07,1.36E-06,-0.1,0.785595217,1,-0.543811561,0.016291693,0.047333285,-1.036568753,9.95E-07,3.74E-06,RIKEN cDNA 1600014C10 gene
chr17,45869812,45870793,-,1600014C23Rik,520,0,2,10,8,2,0,0,2,-1.57,0.001154982,0.003614569,0.86,0.646209418,1,0,1,1,2.435883353,0.057286432,0.109855325,RIKEN cDNA 1600014C23 gene
chrX,82495015,82515630,+,1600014K23Rik,842,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,"ferritin, heavy polypeptide-like 17, member A"
chr6,48879894,48883686,+,1600015I10Rik,2488,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1600015I10 gene
chr5,30768449,30786460,+,1700001C02Rik,716,0,2,4,2,14,2,0,0,1.25,0.316134004,0.520802031,2.77,0.014134437,0.077674228,0,0.533574482,0.848810388,1.518798282,0.176852397,0.299828546,RIKEN cDNA 1700001C02 gene
chr17,47549682,47574324,-,1700001C19Rik,1806,536,527,421,332,1714,1201,867,767,1.7,2.09E-16,3.16E-15,-0.35,0.419220247,0.839451881,-0.832554794,4.59E-05,0.000248504,-2.055535122,5.67E-19,5.62E-18,RIKEN cDNA 1700001C19 gene
chr14,44020916,44026344,-,1700001F09Rik,888,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700001F09 gene
chr5,146994025,146996880,-,1700001J03Rik,783,2,12,10,6,10,0,2,2,-0.06,0.421396369,0.658724129,0.96,1,1,-0.234576858,0.358523802,0.627605692,1.012634849,0.468348341,0.695090072,RIKEN cDNA 1700001J03 gene
chr12,111905898,111920829,-,1700001K19Rik,960,0,2,15,8,3,2,1,2,-2.02,0.008909824,0.023164941,0.09,1,1,-0.900084971,1,1,2.103996067,0.050898176,0.098564588,RIKEN cDNA 1700001K19 gene
chr13,68736315,68753108,+,1700001L19Rik,1811,2,0,7,8,2,0,0,2,-1.08,0.003396113,0.009680567,0.86,0.645496785,1,1.436888405,1,1,1.943063859,0.108642942,0.195060412,RIKEN cDNA 1700001L19 gene
chr2,30651082,30659184,-,1700001O22Rik,1599,6,4,46,22,3,1,2,0,-3.4,4.47E-08,2.71E-07,-0.42,1,1,1.077109008,0.104109777,0.230781306,2.983014015,5.82E-06,2.03E-05,RIKEN cDNA 1700001O22 gene
chr11,97632794,97637232,-,1700001P01Rik,627,2,4,4,4,14,0,0,3,1.43,0.789479943,1,2.84,0.56183195,0.988330134,1.354781333,0.796231234,1,1.406537506,0.826026386,1,RIKEN cDNA 1700001P01 gene
chr6,83106397,83112969,+,1700003E16Rik,2054,41,46,34,23,107,60,62,54,1.26,2.89E-05,1.19E-04,-0.53,0.103370563,0.344272269,-0.719810767,0.034030351,0.08921211,-1.789173131,3.97E-08,1.71E-07,RIKEN cDNA 1700003E16 gene
chr2,154374639,154375784,+,1700003F12Rik,736,27,40,76,69,52,15,2,0,-0.71,0.002398628,0.007070536,2.89,1.91E-06,3.45E-05,3.007651187,5.04E-09,5.54E-08,3.598770676,3.62E-12,2.20E-11,RIKEN cDNA 1700003F12 gene
chr4,34658580,34677455,-,1700003M02Rik,1727,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,cilia and flagella associated protein 206
chr3,124104072,124128946,-,1700006A11Rik,1995,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700006A11 gene
chr11,101848369,101853578,+,1700006E09Rik,704,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700006E09 gene
chr8,77972592,78508406,+,1700007B14Rik,2175,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700007B14 gene
chr5,98758322,99231038,+,1700007G11Rik,867,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700007G11 gene
chr7,138469444,138473013,-,1700007K09Rik,680,7,2,9,2,1,0,0,0,-2.02,0.05327711,0.114316318,0.45,1,1,2.790433382,0.026555296,0.072046449,2.474038053,0.037324949,0.074425724,RIKEN cDNA 1700007K09 gene
chr2,28317520,28321844,-,1700007K13Rik,807,6,2,2,2,10,0,4,2,1.59,0.527701075,0.788944922,0.22,0.851954075,1,0.391239851,1,1,-1.361838783,0.365695703,0.559497574,RIKEN cDNA 1700007K13 gene
chr8,131591033,131707632,+,1700008F21Rik,1653,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,coiled-coil domain containing 7B
chrX,132189236,132228329,-,1700008I05Rik,1786,4,0,0,2,0,0,0,0,0,0.5739894,0.817722899,0,1,1,2.148973153,0.242320455,0.459603964,0,0.5739894,0.812295315,"t-complex 11 family, X-linked 2"
chr7,51615414,51630400,-,1700008O03Rik,917,10,4,54,28,8,2,2,5,-2.63,6.37E-06,2.90E-05,0.62,0.542583277,0.973889502,1.786725983,0.499118807,0.819348808,3.248061488,0.000486028,0.001330892,RIKEN cDNA 1700008O03 gene
chr3,6615412,6620443,-,1700008P02Rik,792,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700008P02 gene
chr4,39397325,39398811,+,1700009N14Rik,1264,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700009N14 gene
chr1,173051791,173057098,+,1700009P17Rik,1040,109,101,114,130,286,153,105,88,1.03,0.042646885,0.093828799,0.12,0.706353465,1,-0.082816934,0.679301828,0.998669945,-0.917709889,0.110745031,0.198435969,cilia and flagella associated protein 126
chr2,173544915,173547587,+,1700010B08Rik,899,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700010B08 gene
chrX,92927928,92928600,-,1700010D01Rik,501,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700010D01 gene
chr17,9181197,9201184,+,1700010I14Rik,1888,24,20,72,36,37,32,24,14,-1.35,0.136582748,0.257623819,-0.76,0.86332834,1,-0.12926035,0.945326787,1,0.588183569,0.261897758,0.424738583,RIKEN cDNA 1700010I14 gene
chr15,101278175,101284340,+,1700011A15Rik,908,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,keratin 88
chr17,87788910,87827081,-,1700011E24Rik,854,0,0,4,3,4,1,0,0,-0.1,0.614538988,0.863318992,1.36,0.276298771,0.657503935,0,1,1,1.461287066,0.085492809,0.157736812,sperm tail PG rich repeat containing 4
chr14,49846033,49865103,-,1700011H14Rik,1174,24,22,42,45,86,29,28,10,0.8,0.720221716,0.980145967,0.33,0.353669838,0.753924697,-0.352375055,1,1,-0.473707697,0.577508105,0.816578751,RIKEN cDNA 1700011H14 gene
chr18,57693479,57890719,+,1700011I03Rik,974,0,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0.349985806,0.615813911,0,1,1,RIKEN cDNA 1700011I03 gene
chr8,81734328,81772482,-,1700011L22Rik,984,2,2,0,0,0,2,0,7,0,0.563971681,0.806119802,0,0.256886416,0.630282972,1.391956939,0.61290508,0.919852377,0,0.046868193,0.091515443,RIKEN cDNA 1700011L22 gene
chr6,32000287,32008915,+,1700012A03Rik,918,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700012A03 gene
chr11,109649604,109689360,-,1700012B07Rik,1476,0,0,103,69,0,0,0,0,-5.56,1.06E-20,2.46E-19,0,1,1,0,1,1,5.55845107,2.52E-15,1.94E-14,RIKEN cDNA 1700012B07 gene
chr9,14562637,14575474,-,1700012B09Rik,689,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700012B09 gene
chrX,8860889,8861414,+,1700012L04Rik,526,16,12,2,6,32,27,9,11,2.99,7.48E-06,3.38E-05,0.38,0.319489299,0.715518099,0.655472055,0.741417378,1,-2.61405723,0.001744917,0.004406374,H2A histone family member L1M
chr4,144008093,144028675,-,1700012P22Rik,976,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700012P22 gene
chr6,124297611,124307104,-,1700013D24Rik,537,0,1,5,6,0,0,0,0,-1.58,0.004249438,0.011876654,0,1,1,0,1,1,1.577714137,0.017538351,0.037421161,RIKEN cDNA 1700013D24 gene
chr3,108340501,108347615,+,1700013F07Rik,597,0,0,0,0,2,0,0,2,0.86,0.546886084,0.797485369,0.86,0.686999018,1,0,0.546886084,0.859247493,0,0.546886084,0.787705769,RIKEN cDNA 1700013F07 gene
chr4,137009210,137011376,+,1700013G24Rik,1038,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700013G24 gene
chrX,51046077,51061008,-,1700013H16Rik,1233,4,0,17,7,0,0,0,0,-3.2,0.000220402,0.000787415,0,1,1,2.148973153,0.170935369,0.34570864,3.196887065,0.000962956,0.002520168,RIKEN cDNA 1700013H16 gene
chr1,172238991,172242256,+,1700015E13Rik,715,0,0,0,2,13,4,0,0,2.6,0.020025257,0.047918759,2.6,0.00372251,0.026335203,0,1,1,0,0.522058718,0.762292322,spermatogenesis associated 46
chr5,5437826,5479143,-,1700015F17Rik,717,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700015F17 gene
chr7,59267049,59271086,-,1700015G11Rik,392,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700015G11 gene
chr1,179659944,179683436,+,1700016C15Rik,755,2,0,27,32,22,26,0,4,-0.68,0.590795367,0.836171423,2.94,0.00156419,0.012904428,1.436888405,0.714335079,1,3.619377162,0.000328298,0.000920345,RIKEN cDNA 1700016C15 gene
chr8,11654923,11678750,-,1700016D06Rik,1269,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,RIKEN cDNA 1700016D06 gene
