Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type,Ensembl ID,Uniprot ID
1700008F21Rik,old symbol,MGI:1922703,Ccdc7b,coiled-coil domain containing 7B,protein coding gene,ENSMUSG00000056018,B9EJU4
1700008I05Rik,old symbol,MGI:1919091,Tcp11x2,"t-complex 11 family, X-linked 2",protein coding gene,ENSMUSG00000058252,A2AEI7
1700008O03Rik,current symbol,MGI:1916599,1700008O03Rik,RIKEN cDNA 1700008O03 gene,protein coding gene,ENSMUSG00000008028,D3Z070
1700008P02Rik,current symbol,MGI:1916597,1700008P02Rik,RIKEN cDNA 1700008P02 gene,protein coding gene,ENSMUSG00000069118,Q9DAJ8
1700009N14Rik,current symbol,MGI:1922721,1700009N14Rik,RIKEN cDNA 1700009N14 gene,protein coding gene,ENSMUSG00000028287,Q14AA6
1700009P17Rik,old symbol,MGI:1922722,Cfap126,cilia and flagella associated protein 126,protein coding gene,ENSMUSG00000026649,Q6P8X9
1700010B08Rik,current symbol,MGI:1922735,1700010B08Rik,RIKEN cDNA 1700010B08 gene,protein coding gene,ENSMUSG00000057047,Q9DAI7
1700010D01Rik,current symbol,MGI:1923636,1700010D01Rik,RIKEN cDNA 1700010D01 gene,lincRNA gene,ENSMUSG00000071721,Q9DAI5
1700010I14Rik,current symbol,MGI:1914181,1700010I14Rik,RIKEN cDNA 1700010I14 gene,protein coding gene,ENSMUSG00000023873,Q3TTN6
1700011A15Rik,old symbol,MGI:1913572,Krt88,keratin 88,protein coding gene,ENSMUSG00000063971,Q9CPR6
1700011E24Rik,old symbol,MGI:1922717,Stpg4,sperm tail PG rich repeat containing 4,protein coding gene,ENSMUSG00000036557,Q9DAG5
1700011H14Rik,current symbol,MGI:1914332,1700011H14Rik,RIKEN cDNA 1700011H14 gene,protein coding gene,ENSMUSG00000021850,Q9CPZ1
1700011I03Rik,current symbol,MGI:1922694,1700011I03Rik,RIKEN cDNA 1700011I03 gene,protein coding gene,ENSMUSG00000058925,D3YYW6
1700011L22Rik,current symbol,MGI:1914937,1700011L22Rik,RIKEN cDNA 1700011L22 gene,protein coding gene,ENSMUSG00000031682,Q9DAF8
1700012A03Rik,current symbol,MGI:1923632,1700012A03Rik,RIKEN cDNA 1700012A03 gene,unclassified non-coding RNA gene,ENSMUSG00000029766,Q9DAF1
1700012B07Rik,current symbol,MGI:1916574,1700012B07Rik,RIKEN cDNA 1700012B07 gene,protein coding gene,ENSMUSG00000020617,A2AGP8
1700012B09Rik,current symbol,MGI:1916575,1700012B09Rik,RIKEN cDNA 1700012B09 gene,protein coding gene,ENSMUSG00000031927,A0A087WQX9
1700012L04Rik,old symbol,MGI:1923633,H2al1m,H2A histone family member L1M,protein coding gene,ENSMUSG00000100200,Q9DAD9
1700012P22Rik,current symbol,MGI:1916614,1700012P22Rik,RIKEN cDNA 1700012P22 gene,protein coding gene,ENSMUSG00000028589,Q4KKZ1
1700013D24Rik,current symbol,MGI:1924171,1700013D24Rik,RIKEN cDNA 1700013D24 gene,lincRNA gene,ENSMUSG00000079346,Q0P521
1700013F07Rik,current symbol,MGI:1922754,1700013F07Rik,RIKEN cDNA 1700013F07 gene,protein coding gene,ENSMUSG00000027886,Q9DAD0
1700013G24Rik,current symbol,MGI:1916630,1700013G24Rik,RIKEN cDNA 1700013G24 gene,protein coding gene,ENSMUSG00000041399,Q9DAC6
1700013H16Rik,current symbol,MGI:1922764,1700013H16Rik,RIKEN cDNA 1700013H16 gene,protein coding gene,ENSMUSG00000054727,Q9DAC5
1700015E13Rik,old symbol,MGI:1924175,Spata46,spermatogenesis associated 46,protein coding gene,ENSMUSG00000042800,Q4FZF2
1700015F17Rik,current symbol,MGI:2686532,1700015F17Rik,RIKEN cDNA 1700015F17 gene,protein coding gene,ENSMUSG00000079666,D3YUK8
1700015G11Rik,current symbol,MGI:1922779,1700015G11Rik,RIKEN cDNA 1700015G11 gene,protein coding gene,ENSMUSG00000094445,J3QM76
1700016C15Rik,current symbol,MGI:1916678,1700016C15Rik,RIKEN cDNA 1700016C15 gene,protein coding gene,ENSMUSG00000015962,Q9DAA7
1700016D06Rik,current symbol,MGI:1923663,1700016D06Rik,RIKEN cDNA 1700016D06 gene,protein coding gene,ENSMUSG00000031509,A0A087WP52
1700016H13Rik,current symbol,MGI:1921468,1700016H13Rik,RIKEN cDNA 1700016H13 gene,protein coding gene,ENSMUSG00000029320,Q9DAA3
1700016K19Rik,current symbol,MGI:1921480,1700016K19Rik,RIKEN cDNA 1700016K19 gene,protein coding gene,ENSMUSG00000053783,Q810M6
1700017B05Rik,current symbol,MGI:1921461,1700017B05Rik,RIKEN cDNA 1700017B05 gene,protein coding gene,ENSMUSG00000032300,Q3TEI4
1700017D01Rik,current symbol,MGI:1916619,1700017D01Rik,RIKEN cDNA 1700017D01 gene,protein coding gene,ENSMUSG00000024729,G5E851
1700017N19Rik,current symbol,MGI:1913855,1700017N19Rik,RIKEN cDNA 1700017N19 gene,protein coding gene,ENSMUSG00000056912,A0A087WPJ1
1700018B08Rik,current symbol,MGI:1923655,1700018B08Rik,RIKEN cDNA 1700018B08 gene,protein coding gene,ENSMUSG00000031809,Q9DA83
1700018C11Rik,old symbol,MGI:1922774,Tex48,testis expressed 48,protein coding gene,ENSMUSG00000058935,Q9DA81
1700018F24Rik,current symbol,MGI:1916646,1700018F24Rik,RIKEN cDNA 1700018F24 gene,protein coding gene,ENSMUSG00000029620,B2RW27
1700019A02Rik,current symbol,MGI:1916647,1700019A02Rik,RIKEN cDNA 1700019A02 gene,protein coding gene,ENSMUSG00000060715,A0A087WPV9
1700019B03Rik,old symbol,MGI:1923656,Tex45,testis expressed 45,protein coding gene,ENSMUSG00000040340,G3XA23
1700019D03Rik,current symbol,MGI:1914330,1700019D03Rik,RIKEN cDNA 1700019D03 gene,protein coding gene,ENSMUSG00000043629,Q9CPS8
1700019G17Rik,old symbol,MGI:1922791,Nat8f4,N-acetyltransferase 8 (GCN5-related) family member 4,protein coding gene,ENSMUSG00000068299,E0CYM0
1700019L03Rik,old symbol,MGI:2447809,Cfap157,cilia and flagella associated protein 157,protein coding gene,ENSMUSG00000038987,Q0VFX2
1700019N19Rik,current symbol,MGI:1914757,1700019N19Rik,RIKEN cDNA 1700019N19 gene,protein coding gene,ENSMUSG00000026931,Q9CQT6
1700019O17Rik,old symbol,MGI:1919113,Tex44,testis expressed 44,protein coding gene,ENSMUSG00000036574,Q9DA60
1700020A23Rik,current symbol,MGI:1922906,1700020A23Rik,RIKEN cDNA 1700020A23 gene,protein coding gene,ENSMUSG00000027409,Q9DA59
1700020D05Rik,current symbol,MGI:1922805,1700020D05Rik,RIKEN cDNA 1700020D05 gene,protein coding gene,ENSMUSG00000100937,Q99PB1
1700020L24Rik,current symbol,MGI:1913580,1700020L24Rik,RIKEN cDNA 1700020L24 gene,protein coding gene,ENSMUSG00000035085,Q8C1R3
1700020N15Rik,current symbol,MGI:1922759,1700020N15Rik,RIKEN cDNA 1700020N15 gene,protein coding gene,ENSMUSG00000059690,L7MTX3
1700021F05Rik,current symbol,MGI:1915101,1700021F05Rik,RIKEN cDNA 1700021F05 gene,protein coding gene,ENSMUSG00000019797,Q9CQF4
1700021F07Rik,current symbol,MGI:1919471,1700021F07Rik,RIKEN cDNA 1700021F07 gene,protein coding gene,ENSMUSG00000027518,Q9DA42
1700021K19Rik,old symbol,MGI:1915160,Rubcn,"RUN domain and cysteine-rich domain containing, Beclin 1-interacting protein",protein coding gene,ENSMUSG00000035629,Q80U62
1700022I11Rik,current symbol,MGI:1914567,1700022I11Rik,RIKEN cDNA 1700022I11 gene,protein coding gene,ENSMUSG00000028451,Q3V0E1
1700023E05Rik,old symbol,MGI:1919118,Thegl,theg spermatid protein like,protein coding gene,ENSMUSG00000029248,Q9DA15
1700023F06Rik,current symbol,MGI:1916691,1700023F06Rik,RIKEN cDNA 1700023F06 gene,protein coding gene,ENSMUSG00000020940,A0A087WPM6
1700024G13Rik,current symbol,MGI:1914335,1700024G13Rik,RIKEN cDNA 1700024G13 gene,protein coding gene,ENSMUSG00000072473,Q3KNL4
1700024P04Rik,current symbol,MGI:1916632,1700024P04Rik,RIKEN cDNA 1700024P04 gene,protein coding gene,ENSMUSG00000045022,Q9D9Z7
1700024P16Rik,current symbol,MGI:2685466,1700024P16Rik,RIKEN cDNA 1700024P16 gene,protein coding gene,ENSMUSG00000078612,A2A995
1700025F22Rik,current symbol,MGI:1916666,1700025F22Rik,RIKEN cDNA 1700025F22 gene,protein coding gene,ENSMUSG00000024728,Q6P8I0
1700025G04Rik,current symbol,MGI:1916649,1700025G04Rik,RIKEN cDNA 1700025G04 gene,protein coding gene,ENSMUSG00000032666,Q8K207
1700026D08Rik,old symbol,MGI:1922806,Cfap161,cilia and flagella associated protein 161,protein coding gene,ENSMUSG00000011154,Q6P8Y0
1700026L06Rik,old symbol,MGI:1917237,Spaca9,sperm acrosome associated 9,protein coding gene,ENSMUSG00000026809,Q7TPM5
1700028K03Rik,current symbol,MGI:1923671,1700028K03Rik,RIKEN cDNA 1700028K03 gene,protein coding gene,ENSMUSG00000089798,Q3KQP7
1700028P14Rik,current symbol,MGI:1914733,1700028P14Rik,RIKEN cDNA 1700028P14 gene,protein coding gene,ENSMUSG00000033053,Q9CQC3
1700029F12Rik,current symbol,MGI:1913729,1700029F12Rik,RIKEN cDNA 1700029F12 gene,protein coding gene,ENSMUSG00000052075,Q810S0
1700029H14Rik,current symbol,MGI:1913751,1700029H14Rik,RIKEN cDNA 1700029H14 gene,protein coding gene,ENSMUSG00000031452,E9PY36
1700029I15Rik,current symbol,MGI:1916742,1700029I15Rik,RIKEN cDNA 1700029I15 gene,protein coding gene,ENSMUSG00000044916,Q8CF31
1700029J07Rik,current symbol,MGI:1916729,1700029J07Rik,RIKEN cDNA 1700029J07 gene,protein coding gene,ENSMUSG00000071103,Q3U1D9
1700029P11Rik,current symbol,MGI:1913596,1700029P11Rik,RIKEN cDNA 1700029P11 gene,protein coding gene,ENSMUSG00000061633,Q9CQ68
1700030F18Rik,old symbol,MGI:2685766,Fam186a,"family with sequence similarity 186, member A",protein coding gene,ENSMUSG00000045350,Q9D9R9
1700030J22Rik,current symbol,MGI:1916778,1700030J22Rik,RIKEN cDNA 1700030J22 gene,protein coding gene,ENSMUSG00000031847,Q8BHB7
1700030K09Rik,current symbol,MGI:1919504,1700030K09Rik,RIKEN cDNA 1700030K09 gene,protein coding gene,ENSMUSG00000052794,Q922C1
1700031F05Rik,current symbol,MGI:1920550,1700031F05Rik,RIKEN cDNA 1700031F05 gene,protein coding gene,ENSMUSG00000032894,B1AX30
1700034E13Rik,current symbol,MGI:1925664,1700034E13Rik,RIKEN cDNA 1700034E13 gene,protein coding gene,ENSMUSG00000024532,Q9D2T6
1700034F02Rik,old symbol,MGI:1920574,Clhc1,clathrin heavy chain linker domain containing 1,protein coding gene,ENSMUSG00000020461,Q5M6W3
1700034J05Rik,current symbol,MGI:1920594,1700034J05Rik,RIKEN cDNA 1700034J05 gene,protein coding gene,ENSMUSG00000040163,Q80W69
1700034O15Rik,current symbol,MGI:1923856,1700034O15Rik,RIKEN cDNA 1700034O15 gene,protein coding gene,ENSMUSG00000029867,Q9D9P8
1700037C18Rik,current symbol,MGI:1920511,1700037C18Rik,RIKEN cDNA 1700037C18 gene,protein coding gene,ENSMUSG00000005983,Q8BT88
1700037H04Rik,current symbol,MGI:1914576,1700037H04Rik,RIKEN cDNA 1700037H04 gene,protein coding gene,ENSMUSG00000027327,Q9D1K7
1700039E15Rik,old symbol,MGI:1923963,Slc6a21,solute carrier family 6 member 21,protein coding gene,ENSMUSG00000070568,A0A1B0GSD2
1700040L02Rik,current symbol,MGI:1920537,1700040L02Rik,RIKEN cDNA 1700040L02 gene,protein coding gene,ENSMUSG00000019945,Q8CDT7
1700042B14Rik,old symbol,MGI:1920597,Cldn34b2,claudin 34B2,protein coding gene,ENSMUSG00000057402,Q9D9N2
1700042G07Rik,current symbol,MGI:1914573,1700042G07Rik,RIKEN cDNA 1700042G07 gene,protein coding gene,ENSMUSG00000078593,B1AUF7
1700047I17Rik2,current symbol,MGI:3714351,1700047I17Rik2,RIKEN cDNA 1700047I17 gene 2,protein coding gene,ENSMUSG00000094103,
1700049G17Rik,old symbol,MGI:1920680,Zfp974,zinc finger protein 974,protein coding gene,ENSMUSG00000070709,B9EJ82
1700052N19Rik,old symbol,MGI:1920669,Armt1,acidic residue methyltransferase 1,protein coding gene,ENSMUSG00000061759,A6H630
1700055N04Rik,old symbol,MGI:1920708,Aldh3b3,"aldehyde dehydrogenase 3 family, member B3",protein coding gene,ENSMUSG00000037263,J3QMK6
1700056E22Rik,current symbol,MGI:1920613,1700056E22Rik,RIKEN cDNA 1700056E22 gene,antisense lncRNA gene,ENSMUSG00000044854,F7CNM6
1700057G04Rik,current symbol,MGI:1925709,1700057G04Rik,RIKEN cDNA 1700057G04 gene,protein coding gene,ENSMUSG00000074139,A0A087WPD9
1700061G19Rik,current symbol,MGI:1925875,1700061G19Rik,RIKEN cDNA 1700061G19 gene,protein coding gene,ENSMUSG00000024209,Q08EE8
1700065D16Rik,current symbol,MGI:1920660,1700065D16Rik,RIKEN cDNA 1700065D16 gene,antisense lncRNA gene,ENSMUSG00000096655,Q7TSG0
1700066B19Rik,current symbol,MGI:1920699,1700066B19Rik,RIKEN cDNA 1700066B19 gene,protein coding gene,ENSMUSG00000073598,Q3TS39
1700066M21Rik,current symbol,MGI:1920717,1700066M21Rik,RIKEN cDNA 1700066M21 gene,protein coding gene,ENSMUSG00000038323,Q9D9H8
1700067K01Rik,current symbol,MGI:1920703,1700067K01Rik,RIKEN cDNA 1700067K01 gene,protein coding gene,ENSMUSG00000046408,Q8CF25
1700067P10Rik,current symbol,MGI:1915474,1700067P10Rik,RIKEN cDNA 1700067P10 gene,protein coding gene,ENSMUSG00000021545,G3X8U2
1700071K01Rik,current symbol,MGI:3588264,1700071K01Rik,RIKEN cDNA 1700071K01 gene,pseudogene,ENSMUSG00000080980,Q3V2K0
1700074P13Rik,current symbol,MGI:1920731,1700074P13Rik,RIKEN cDNA 1700074P13 gene,protein coding gene,ENSMUSG00000029883,D3Z4W5
1700080E11Rik,current symbol,MGI:1920782,1700080E11Rik,RIKEN cDNA 1700080E11 gene,protein coding gene,ENSMUSG00000032566,C9W8M5
1700080O16Rik,current symbol,MGI:1921529,1700080O16Rik,RIKEN cDNA 1700080O16 gene,protein coding gene,ENSMUSG00000031118,Q9D9G4
1700084C01Rik,old symbol,MGI:1925715,Ccdc190,coiled-coil domain containing 190,protein coding gene,ENSMUSG00000070532,Q3URK1
1700088E04Rik,current symbol,MGI:1920774,1700088E04Rik,RIKEN cDNA 1700088E04 gene,protein coding gene,ENSMUSG00000033029,Q9D9S1
1700092M07Rik,current symbol,MGI:1921557,1700092M07Rik,RIKEN cDNA 1700092M07 gene,protein coding gene,ENSMUSG00000090840,G3UW99
1700093K21Rik,current symbol,MGI:1914608,1700093K21Rik,RIKEN cDNA 1700093K21 gene,protein coding gene,ENSMUSG00000020286,Q810S2
1700094D03Rik,current symbol,MGI:1920795,1700094D03Rik,RIKEN cDNA 1700094D03 gene,protein coding gene,,
1700101E01Rik,old symbol,MGI:2685669,Cfap77,cilia and flagella associated protein 77,protein coding gene,ENSMUSG00000079502,A0A087WQ85
1700102P08Rik,current symbol,MGI:2148248,1700102P08Rik,RIKEN cDNA 1700102P08 gene,protein coding gene,ENSMUSG00000032611,Q9D9C7
1700106J16Rik,old symbol,MGI:1921547,Ccdc182,coiled-coil domain containing 182,protein coding gene,ENSMUSG00000034031,Q9D9C6
1700109H08Rik,current symbol,MGI:1924286,1700109H08Rik,RIKEN cDNA 1700109H08 gene,protein coding gene,ENSMUSG00000008307,D6RH70
1700112E06Rik,old symbol,MGI:1923883,Lrmda,leucine rich melanocyte differentiation associated,protein coding gene,ENSMUSG00000063458,Q9D9B4
1700113H08Rik,current symbol,MGI:1923890,1700113H08Rik,RIKEN cDNA 1700113H08 gene,protein coding gene,ENSMUSG00000047129,A0A087WR28
1700122O11Rik,current symbol,MGI:1923901,1700122O11Rik,RIKEN cDNA 1700122O11 gene,protein coding gene,ENSMUSG00000094928,J3QPW6
1700123I01Rik,old symbol,MGI:1923913,Majin,membrane anchored junction protein,protein coding gene,ENSMUSG00000024786,Q9D992
1700123K08Rik,current symbol,MGI:1923908,1700123K08Rik,RIKEN cDNA 1700123K08 gene,protein coding gene,ENSMUSG00000029526,Q9D991
1700123O20Rik,current symbol,MGI:1920893,1700123O20Rik,RIKEN cDNA 1700123O20 gene,protein coding gene,ENSMUSG00000040822,Q9JJ93
1700125H20Rik,current symbol,MGI:1920884,1700125H20Rik,RIKEN cDNA 1700125H20 gene,protein coding gene,ENSMUSG00000018479,Q9D979
1700129C05Rik,current symbol,MGI:1915182,1700129C05Rik,RIKEN cDNA 1700129C05 gene,protein coding gene,ENSMUSG00000021977,E0CXF5
1810009A15Rik,current symbol,MGI:1913526,1810009A15Rik,RIKEN cDNA 1810009A15 gene,protein coding gene,ENSMUSG00000071653,Q9D937
1810009J06Rik,current symbol,MGI:1920876,1810009J06Rik,RIKEN cDNA 1810009J06 gene,protein coding gene,ENSMUSG00000094808,Q9CPN7
